n_d,n_a,mask_type,lambda_sparse,avg_cost,std_cost,f1,precision,recall,auc,accuracy
8,8,entmax,0.0001,1.2799414461328407,0.09551359396961584,0.8479287182015129,0.957172216692522,0.7612343142011777,0.8734984756109532,0.8777399651460632
16,16,entmax,0.001,1.290115523880919,0.11363792202049416,0.8335132496199001,0.9232841732060881,0.7607985843536833,0.8754754255408684,0.8630758694832933
8,8,sparsemax,0.001,1.2971620765665708,0.14971920346743028,0.8488600549180397,0.9788418316916282,0.7498815537859976,0.8754498892102276,0.8806757684795687
16,8,sparsemax,0.0001,1.2972094838924098,0.10415259398033418,0.8521417222778471,0.9817537634693825,0.7529487874722912,0.8783239393181612,0.8830237224846151
16,8,entmax,0.0001,1.3061280488613787,0.13149629576164423,0.844751606887448,0.967231713713925,0.7503153808830665,0.883780555552167,0.8765671359131367
8,8,entmax,0.001,1.3105903840847613,0.11072496825114232,0.8448748432038682,0.9739239943011103,0.746404277382957,0.8815407398537938,0.8773508712527713
16,8,sparsemax,0.001,1.3111956110365153,0.16562424064905257,0.8476795354443236,0.9782969581960204,0.7481338775199551,0.8795166536156056,0.8796995904375489
16,16,sparsemax,0.0001,1.3266127149480131,0.09154811956792189,0.8458374949726263,0.9763083030982548,0.7463938122556154,0.8771909767043343,0.8781311632836157
8,16,sparsemax,0.001,1.3269638046455117,0.1603220339783371,0.8444917868612241,0.9760354571861736,0.7455118874332849,0.8837291800277844,0.877347619238914
16,16,entmax,0.0001,1.3298602149975989,0.09420596858855476,0.8329659755572235,0.9416055992714487,0.7485810238700041,0.8748328079873803,0.8646303321071329
8,16,sparsemax,0.0001,1.3428453928288655,0.08482624443947365,0.8470525298603405,0.9766662532143195,0.7481376830208066,0.876040009335503,0.8791111672242913
16,8,entmax,0.001,1.3514577990377679,0.1105972197236601,0.8369218748395006,0.944750825142488,0.7529440305962268,0.875980809727762,0.867380005471035
8,16,entmax,0.001,1.376790754176613,0.13470748852007264,0.8171363936306918,0.9092456308010552,0.7442161143933557,0.8690773046655661,0.8497672897142629
16,16,sparsemax,0.001,1.4052221582109161,0.08236939890316013,0.831764826006913,0.9610842502242043,0.7333057434521602,0.8696566442969174,0.8671751285980186
8,16,entmax,0.0001,1.4351125860943894,0.08055052750048367,0.8267732704335696,0.9500524358000023,0.732426672755468,0.8713684673524394,0.862482663896716
8,8,sparsemax,0.0001,1.516052066699345,0.4874531288122928,0.797470328676906,0.8981852608465616,0.7237501308140918,0.825598343379591,0.8255453340296468
