feature,mean_tp,mean_fp,mean_fn,mean_tn,std_tp,std_fp,std_fn,std_tn
network_packet_size,0.12070989473398831,0.041164851929837216,0.06777176915437581,0.07890941864011192,0.11601159339954312,0.046709712181102,0.06196428641015093,0.08032146539928908
login_attempts,2.7232102047529643,0.4368913713428709,0.7974350171027716,0.812921197336978,3.740522326063296,0.19763525257144526,0.36709604614532143,0.39501109645411064
ip_reputation_score,1.896863046929381,1.803708327147696,0.772467558816021,0.8156725911028587,2.8343623003488947,0.26070344296707654,0.4977122621215934,0.5702176874924201
failed_logins,2.9435736046970757,0.7493067921863662,0.949859592492563,0.9646822325483358,2.855748125355884,0.14176523435386082,0.2291560956315771,0.25452453554337273
unusual_time_access,0.2522696794509663,0.15007356331851854,0.06885294199243563,0.07049217454151448,0.27319143567921506,0.045088131128348814,0.06983777769805911,0.07261026960792068
session_duration_log,0.18644980368082123,0.09557714437574356,0.1525288253663567,0.17905834008613655,0.21344475130942092,0.07909987949816383,0.17343968675632054,0.23095994694603847
protocol_type_TCP,0.19294238572360947,0.06247826983195004,0.08066534115548374,0.08113900668056366,0.21283845974052829,0.09145265872174847,0.05664727268417677,0.07112229630450245
protocol_type_UDP,0.2565830257332824,0.09111141622787626,0.37631077874676616,0.3950067721780229,0.24735961715552982,0.06460878005635268,0.22020159666030548,0.23476897102618052
encryption_used_DES,0.20041558464953274,0.1996009431627398,0.14111253885744549,0.1615192739625933,0.2268495114721867,0.1361391396057018,0.17188185797911165,0.20142572771975556
encryption_used_None,0.12449737374439532,0.15182029694195887,0.06940466951094885,0.07324177417058172,0.11835902941377625,0.14690495683966234,0.08077646224278494,0.10302230647530174
browser_type_Edge,0.4309599341236739,0.04202713695898032,0.09396781522917502,0.09268196033339635,0.5564392710339189,0.05796473121393392,0.0756005046782518,0.0848843992788849
browser_type_Firefox,0.08750121940731403,0.08634933123377982,0.10681940550994362,0.11164796723596777,0.11867497863494439,0.07034567051028644,0.10031130468910782,0.09937546926562701
browser_type_Safari,0.4883024387280127,0.024701195624139576,0.11396947618388344,0.11281954466853489,0.595994905642055,0.02618218574750857,0.11563197317939784,0.10904290449709711
browser_type_Unknown,0.5170660195762194,0.16052716869712136,0.2016595068573683,0.19219454314688053,0.4959753773133287,0.06594266487120978,0.12224063704301452,0.11803219145622834
